Attack Number,Total Distance
21/12/2023 11:49:43,252,4.15894
21/12/2023 11:49:43,253,4.201247
21/12/2023 11:49:43,254,4.251962
21/12/2023 11:49:43,255,4.310005
21/12/2023 11:49:43,256,4.349895
21/12/2023 11:49:43,257,4.395959
21/12/2023 11:49:43,258,4.452393
21/12/2023 11:49:43,259,4.494445
21/12/2023 11:49:43,260,4.538694
21/12/2023 11:49:43,261,4.627967
21/12/2023 11:49:43,262,4.670408
21/12/2023 11:49:43,263,4.71812
21/12/2023 11:49:43,264,4.778132
21/12/2023 11:49:43,265,4.822093
21/12/2023 11:49:43,266,4.861724
21/12/2023 11:49:43,267,4.906159
21/12/2023 11:49:43,268,4.964587
21/12/2023 11:49:43,269,5.006435
21/12/2023 11:49:43,270,5.052623
21/12/2023 11:49:43,271,5.104541
21/12/2023 11:49:43,272,5.131515
21/12/2023 11:49:43,273,5.161521
21/12/2023 11:49:43,274,5.19599
21/12/2023 11:49:43,275,5.220375
21/12/2023 11:49:43,276,5.266802
21/12/2023 11:49:43,277,5.30839
21/12/2023 11:49:43,278,5.349545
21/12/2023 11:49:43,279,5.375004
21/12/2023 11:49:43,280,5.399847
21/12/2023 11:49:43,281,5.414088
21/12/2023 11:49:43,282,5.438445
21/12/2023 11:49:43,283,5.462755
21/12/2023 11:49:43,284,5.483266
21/12/2023 11:49:43,285,5.50087
21/12/2023 11:49:43,286,5.528689
21/12/2023 11:49:43,287,5.573244
21/12/2023 11:49:43,288,5.609234
21/12/2023 11:49:43,289,5.640451
21/12/2023 11:49:43,290,5.666046
21/12/2023 11:49:43,291,5.692403
21/12/2023 11:49:43,292,5.719812
21/12/2023 11:49:43,293,5.743583
21/12/2023 11:49:44,294,5.770205
21/12/2023 11:49:44,295,5.788874
21/12/2023 11:49:44,296,5.810499
21/12/2023 11:49:44,297,5.829843
21/12/2023 11:49:44,298,5.850811
21/12/2023 11:49:44,299,5.867918
21/12/2023 11:49:44,300,5.889691
21/12/2023 11:49:44,301,5.907081
21/12/2023 11:49:44,302,5.92691
21/12/2023 11:49:44,303,5.947752
21/12/2023 11:49:44,304,5.962281
21/12/2023 11:49:44,305,5.976861
21/12/2023 11:49:44,306,5.988158
21/12/2023 11:49:44,307,5.998328
21/12/2023 11:49:44,308,6.003884
21/12/2023 11:49:44,309,6.011249
21/12/2023 11:49:44,310,6.020318
21/12/2023 11:49:44,311,6.023004
21/12/2023 11:49:44,312,6.024889
21/12/2023 11:49:44,313,6.028408
21/12/2023 11:49:44,314,6.030284
21/12/2023 11:49:44,315,6.031666
21/12/2023 11:49:44,316,6.032131
21/12/2023 11:49:44,317,6.032215
21/12/2023 11:49:45,318,6.032462
21/12/2023 11:49:45,319,6.034559
21/12/2023 11:49:45,320,6.036109
21/12/2023 11:49:45,321,6.037678
21/12/2023 11:49:45,322,6.039324
21/12/2023 11:49:45,323,6.042113
21/12/2023 11:49:45,324,6.044459
21/12/2023 11:49:45,325,6.048716
21/12/2023 11:49:45,326,6.051628
21/12/2023 11:49:45,327,6.05497
21/12/2023 11:49:45,328,6.058757
21/12/2023 11:49:45,329,6.06266
21/12/2023 11:49:45,330,6.067415
21/12/2023 11:49:45,331,6.071789
21/12/2023 11:49:45,332,6.07624
21/12/2023 11:49:45,333,6.081733
21/12/2023 11:49:45,334,6.087794
21/12/2023 11:49:45,335,6.093309
21/12/2023 11:49:45,336,6.099531
21/12/2023 11:49:45,337,6.106867
21/12/2023 11:49:45,338,6.114599
21/12/2023 11:49:45,339,6.121963
21/12/2023 11:49:45,340,6.128657
21/12/2023 11:49:45,341,6.136987
21/12/2023 11:49:45,342,6.145025
21/12/2023 11:49:45,343,6.153584
21/12/2023 11:49:45,344,6.161475
21/12/2023 11:49:45,345,6.170829
21/12/2023 11:49:45,346,6.180364
21/12/2023 11:49:45,347,6.189362
21/12/2023 11:49:45,348,6.201055
21/12/2023 11:49:45,349,6.229597
21/12/2023 11:49:45,350,6.247843
21/12/2023 11:49:45,351,6.264339
21/12/2023 11:49:45,352,6.275197
21/12/2023 11:49:45,353,6.288793
21/12/2023 11:49:45,354,6.300929
21/12/2023 11:49:45,355,6.310842
21/12/2023 11:49:45,356,6.323258
21/12/2023 11:49:45,357,6.337297
21/12/2023 11:49:45,358,6.351502
21/12/2023 11:49:45,359,6.368074
21/12/2023 11:49:45,360,6.386161
21/12/2023 11:49:45,361,6.400818
21/12/2023 11:49:45,362,6.416472
21/12/2023 11:49:45,363,6.436077
21/12/2023 11:49:45,364,6.452669
21/12/2023 11:49:45,365,6.466339
21/12/2023 11:49:45,366,6.480184
21/12/2023 11:49:45,367,6.495579
21/12/2023 11:49:45,368,6.50922
21/12/2023 11:49:45,369,6.522918
21/12/2023 11:49:45,370,6.534779
21/12/2023 11:49:45,371,6.548523
21/12/2023 11:49:45,372,6.560833
21/12/2023 11:49:45,373,6.572669
21/12/2023 11:49:45,374,6.586256
21/12/2023 11:49:45,375,6.597136
21/12/2023 11:49:45,376,6.607409
21/12/2023 11:49:45,377,6.618041
21/12/2023 11:49:45,378,6.629529
21/12/2023 11:49:45,379,6.640014
21/12/2023 11:49:45,380,6.650771
21/12/2023 11:49:45,381,6.668098
21/12/2023 11:49:45,382,6.680736
21/12/2023 11:49:45,383,6.695808
21/12/2023 11:49:45,384,6.704588
21/12/2023 11:49:45,385,6.711874
21/12/2023 11:49:45,386,6.728051
21/12/2023 11:49:45,387,6.732477
21/12/2023 11:49:45,388,6.739629
21/12/2023 11:49:45,389,6.745739
21/12/2023 11:49:45,390,6.749588
21/12/2023 11:49:45,391,6.75563
21/12/2023 11:49:45,392,6.758883
21/12/2023 11:49:45,393,6.762749
21/12/2023 11:49:45,394,6.766692
21/12/2023 11:49:45,395,6.770323
21/12/2023 11:49:45,396,6.77291
21/12/2023 11:49:45,397,6.775443
21/12/2023 11:49:45,398,6.777293
21/12/2023 11:49:45,399,6.778838
21/12/2023 11:49:45,400,6.780116
21/12/2023 11:49:45,401,6.781085
21/12/2023 11:49:45,402,6.781672
21/12/2023 11:49:45,403,6.781932
21/12/2023 11:49:46,404,6.782184
21/12/2023 11:49:46,405,6.783445
21/12/2023 11:49:46,406,6.788237
21/12/2023 11:49:46,407,6.789613
21/12/2023 11:49:46,408,6.791628
21/12/2023 11:49:46,409,6.79404
